Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
45,2,https://doi.org/10.1016/j.scitotenv.2018.08.307,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,7,a,,,Field study,0,15,,,,,4.44,4.86,2.23,0.12,Aqua regia,,,,,,,,,,,,,Acid,0.62,,,,,,,,,,Soil and bean,Y,Y,
46,2,https://doi.org/10.1016/j.scitotenv.2018.08.308,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,7,b,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
47,2,https://doi.org/10.1016/j.scitotenv.2018.08.309,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,7,c,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
48,2,https://doi.org/10.1016/j.scitotenv.2018.08.310,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,8,a,,,Field study,0,15,,,,,4.56,4.8,3.74,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.49,,,,,,,,,,Soil and bean,Y,Y,
49,2,https://doi.org/10.1016/j.scitotenv.2018.08.311,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,8,b,,,Field study,0,15,,,,,4.72,4.32,2.22,0.32,Aqua regia,,,,,,,,,,,,,Acid,0.29,,,,,,,,,,Soil and bean,Y,Y,
50,2,https://doi.org/10.1016/j.scitotenv.2018.08.312,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,8,c,,,Field study,0,15,,,,,4.47,4.36,2.83,0.08,Aqua regia,,,,,,,,,,,,,Acid,0.21,,,,,,,,,,Soil and bean,Y,Y,
51,2,https://doi.org/10.1016/j.scitotenv.2018.08.313,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,9,a,,,Field study,0,15,,,,,6.77,15.57,1.97,0.64,Aqua regia,,,,,,,,,,,,,Acid,0.56,,,,,,,,,,Soil and bean,Y,Y,
52,2,https://doi.org/10.1016/j.scitotenv.2018.08.314,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,9,b,,,Field study,0,15,,,,,6.55,32.96,2.31,0.81,Aqua regia,,,,,,,,,,,,,Acid,0.53,,,,,,,,,,Soil and bean,Y,Y,
53,2,https://doi.org/10.1016/j.scitotenv.2018.08.315,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,9,c,,,Field study,0,15,,,,,6.7,28.5,1.81,0.53,Aqua regia,,,,,,,,,,,,,Acid,1.45,,,,,,,,,,Soil and bean,Y,Y,
54,2,https://doi.org/10.1016/j.scitotenv.2018.08.316,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,10,a,,,Field study,0,15,,,,,7.41,33.43,1.53,0.37,Aqua regia,,,,,,,,,,,,,Acid,0.62,,,,,,,,,,Soil and bean,Y,Y,
